,event_date,dimension,dimension_value,views,likes,messages_received,messages_sent,users_received,users_sent
36,2023-07-05,age,46,5964,1253,68,137,45,90
37,2023-07-05,age,47,4787,1023,1,102,1,35
38,2023-07-05,age,48,5447,1137,4,105,3,38
39,2023-07-05,age,49,3700,817,2,34,2,13
40,2023-07-05,age,50,4806,1038,1,66,1,15
41,2023-07-05,age,51,3424,769,1,60,1,18
42,2023-07-05,age,52,2915,659,0,56,0,17
43,2023-07-05,age,53,1958,428,4,86,3,19
44,2023-07-05,age,54,2105,429,0,66,0,19
45,2023-07-05,age,55,2342,530,0,36,0,6
46,2023-07-05,age,56,1410,305,0,27,0,6
47,2023-07-05,age,57,1283,250,0,15,0,7
48,2023-07-05,age,58,1168,233,0,4,0,2
49,2023-07-05,age,59,982,213,0,7,0,3
50,2023-07-05,age,60,887,201,281,23,76,6
51,2023-07-05,age,61,605,144,0,15,0,4
52,2023-07-05,age,62,1005,204,0,22,0,6
53,2023-07-05,age,63,523,123,0,0,0,0
54,2023-07-05,age,64,438,87,0,15,0,4
55,2023-07-05,age,65,481,97,0,0,0,0
56,2023-07-05,age,66,251,39,0,6,0,3
57,2023-07-05,age,67,176,35,0,0,0,0
58,2023-07-05,age,68,159,31,0,14,0,4
59,2023-07-05,age,69,215,34,0,0,0,0
60,2023-07-05,age,70,216,43,0,0,0,0
61,2023-07-05,age,71,149,42,0,0,0,0
62,2023-07-05,age,72,114,17,0,0,0,0
63,2023-07-05,age,73,70,16,0,6,0,2
64,2023-07-05,age,74,7,2,0,0,0,0
65,2023-07-05,age,76,31,9,0,0,0,0
66,2023-07-05,age,77,66,17,0,0,0,0
67,2023-07-05,age,79,36,11,0,0,0,0
68,2023-07-06,os,Android,427730,93684,8583,8403,6814,6783
69,2023-07-06,os,iOS,235106,51757,4317,4497,3492,3523
70,2023-07-06,gender,0,299028,65952,6288,5983,4908,4746
71,2023-07-06,gender,1,363808,79489,6612,6917,5398,5560
72,2023-07-06,age,14,9245,2018,118,252,110,133
73,2023-07-06,age,15,21691,4532,191,457,176,341
74,2023-07-06,age,16,25096,5508,377,504,336,449
75,2023-07-06,age,17,31595,7002,574,704,480,664
76,2023-07-06,age,18,38363,8280,836,657,652,631
77,2023-07-06,age,19,42810,9551,1269,868,912,837
78,2023-07-06,age,20,38246,8611,697,737,643,706
79,2023-07-06,age,21,40254,8844,951,705,860,684
80,2023-07-06,age,22,36011,7936,881,664,742,647
81,2023-07-06,age,23,34172,7461,718,604,671,578
82,2023-07-06,age,24,26751,5958,528,498,502,487
83,2023-07-06,age,25,23002,5071,1276,616,842,597
84,2023-07-06,age,26,22716,4901,559,356,487,345
85,2023-07-06,age,27,16704,3670,589,348,420,339
86,2023-07-06,age,28,17857,3877,331,297,304,286
87,2023-07-06,age,29,16824,3797,494,332,351,319
88,2023-07-06,age,30,16100,3581,304,360,289,340
89,2023-07-06,age,31,14604,3282,250,283,219,232
90,2023-07-06,age,32,13750,2968,295,356,274,274
91,2023-07-06,age,33,13389,2929,184,243,159,176
92,2023-07-06,age,34,13727,2988,162,238,147,129
93,2023-07-06,age,35,13527,3072,266,285,172,109
94,2023-07-06,age,36,12304,2658,157,185,108,73
95,2023-07-06,age,37,11558,2500,94,201,76,73
96,2023-07-06,age,38,10612,2326,66,226,52,79
97,2023-07-06,age,39,9766,2108,40,191,32,74
98,2023-07-06,age,40,9917,2090,36,203,30,75
99,2023-07-06,age,41,8508,1906,24,179,21,69
100,2023-07-06,age,42,8229,1730,17,133,16,49
101,2023-07-06,age,43,7500,1734,5,128,5,54
102,2023-07-06,age,44,6450,1391,6,105,6,49
103,2023-07-06,age,45,6584,1448,117,86,50,36
104,2023-07-06,age,46,5694,1184,329,126,70,70
105,2023-07-06,age,47,5383,1154,59,96,41,43
106,2023-07-06,age,48,4640,956,0,77,0,33
107,2023-07-06,age,49,4016,944,5,81,1,28
108,2023-07-06,age,50,3557,771,90,89,45,41
109,2023-07-06,age,51,3260,718,0,90,0,29
110,2023-07-06,age,52,2923,608,0,59,0,17
111,2023-07-06,age,53,2148,456,1,57,1,21
112,2023-07-06,age,54,2023,428,1,50,1,19
113,2023-07-06,age,55,1783,402,3,35,3,16
114,2023-07-06,age,56,1691,351,0,24,0,10
115,2023-07-06,age,57,1451,332,0,29,0,10
116,2023-07-06,age,58,1063,227,0,2,0,2
117,2023-07-06,age,59,921,188,0,13,0,4
118,2023-07-06,age,60,1166,266,0,10,0,4
119,2023-07-06,age,61,439,90,0,7,0,5
120,2023-07-06,age,62,408,109,0,3,0,2
121,2023-07-06,age,63,453,108,0,0,0,0
122,2023-07-06,age,64,239,67,0,6,0,2
123,2023-07-06,age,65,204,44,0,8,0,3
124,2023-07-06,age,66,332,63,0,12,0,3
125,2023-07-06,age,67,229,47,0,9,0,3
126,2023-07-06,age,68,180,33,0,0,0,0
127,2023-07-06,age,69,48,14,0,2,0,1
128,2023-07-06,age,70,195,53,0,3,0,2
129,2023-07-06,age,71,65,8,0,0,0,0
130,2023-07-06,age,72,171,25,0,11,0,4
131,2023-07-06,age,73,53,14,0,0,0,0
132,2023-07-06,age,74,75,16,0,0,0,0
133,2023-07-06,age,75,12,4,0,0,0,0
134,2023-07-06,age,76,17,3,0,0,0,0
135,2023-07-06,age,77,73,17,0,0,0,0
136,2023-07-06,age,79,33,8,0,0,0,0
137,2023-07-06,age,82,29,5,0,0,0,0
138,2023-07-07,os,Android,428988,93377,22293,20503,16211,15385
139,2023-07-07,os,iOS,231826,50305,9966,11756,8032,8858
140,2023-07-07,gender,0,297785,64653,15085,14566,11126,10927
141,2023-07-07,gender,1,363029,79029,17174,17693,13117,13316
142,2023-07-07,age,14,8202,1779,180,558,177,137
143,2023-07-07,age,15,22040,4767,456,872,387,494
144,2023-07-07,age,16,24101,5248,662,1205,581,1021
145,2023-07-07,age,17,31747,6835,1876,1510,1225,1398
146,2023-07-07,age,18,37481,8237,1147,1535,1052,1463
147,2023-07-07,age,19,40314,8741,2170,1990,1742,1898
148,2023-07-07,age,20,43248,9349,2589,1935,2016,1862
149,2023-07-07,age,21,41131,8856,2689,2102,2253,2036
150,2023-07-07,age,22,38229,8334,2856,1979,2104,1898
151,2023-07-07,age,23,33852,7459,2177,1861,1968,1802
152,2023-07-07,age,24,27687,6025,1427,1258,1364,1213
153,2023-07-07,age,25,24079,5325,2413,1286,1537,1251
154,2023-07-07,age,26,18584,4090,1335,993,1157,961
155,2023-07-07,age,27,18246,4051,1031,986,986,943
156,2023-07-07,age,28,16906,3700,1040,711,736,678
157,2023-07-07,age,29,16210,3526,1487,775,829,729
158,2023-07-07,age,30,16558,3610,924,761,707,698
159,2023-07-07,age,31,16290,3547,940,721,661,653
160,2023-07-07,age,32,13633,2988,563,808,479,581
161,2023-07-07,age,33,14248,2966,376,627,342,269
162,2023-07-07,age,34,13872,2848,694,576,346,185
163,2023-07-07,age,35,13718,3069,652,716,415,200
164,2023-07-07,age,36,12068,2636,319,633,273,180
165,2023-07-07,age,37,11254,2374,170,580,137,162
166,2023-07-07,age,38,9704,2126,799,671,249,179
167,2023-07-07,age,39,9021,2004,382,389,146,112
168,2023-07-07,age,40,8966,1993,93,416,71,114
169,2023-07-07,age,41,8342,1755,69,426,57,106
170,2023-07-07,age,42,7751,1666,24,378,19,101
171,2023-07-07,age,43,7169,1510,422,272,106,70
172,2023-07-07,age,44,7457,1557,222,422,82,109
173,2023-07-07,age,45,6026,1343,8,260,4,62
174,2023-07-07,age,46,5067,1117,10,292,5,180
175,2023-07-07,age,47,4632,1024,13,258,8,81
176,2023-07-07,age,48,3757,868,18,228,7,58
177,2023-07-07,age,49,4601,1026,0,124,0,35
178,2023-07-07,age,50,3634,754,11,148,6,49
179,2023-07-07,age,51,2897,639,3,99,2,25
180,2023-07-07,age,52,2760,583,6,101,3,29
181,2023-07-07,age,53,2622,544,0,90,0,22
182,2023-07-07,age,54,2006,395,6,135,4,42
183,2023-07-07,age,55,1507,357,0,67,0,21
184,2023-07-07,age,56,1438,287,0,118,0,30
185,2023-07-07,age,57,1155,263,0,83,0,21
186,2023-07-07,age,58,1258,304,0,22,0,6
187,2023-07-07,age,59,1110,216,0,37,0,10
188,2023-07-07,age,60,589,122,0,53,0,14
189,2023-07-07,age,61,665,160,0,1,0,1
190,2023-07-07,age,62,668,155,0,60,0,14
191,2023-07-07,age,63,345,80,0,41,0,10
192,2023-07-07,age,64,159,26,0,33,0,8
193,2023-07-07,age,65,400,89,0,12,0,4
194,2023-07-07,age,66,249,74,0,9,0,4
195,2023-07-07,age,67,481,121,0,13,0,6
196,2023-07-07,age,68,107,30,0,0,0,0
197,2023-07-07,age,69,157,41,0,2,0,1
198,2023-07-07,age,70,129,21,0,9,0,2
199,2023-07-07,age,71,113,35,0,0,0,0
200,2023-07-07,age,72,11,1,0,1,0,1
201,2023-07-07,age,73,47,13,0,3,0,2
202,2023-07-07,age,74,12,3,0,0,0,0
203,2023-07-07,age,76,22,4,0,0,0,0
204,2023-07-07,age,78,0,0,0,8,0,2
205,2023-07-07,age,79,32,9,0,0,0,0
206,2023-07-07,age,82,11,3,0,0,0,0
207,2023-07-07,age,87,39,4,0,0,0,0
208,2023-07-08,os,Android,382613,78114,8670,8377,7150,6804
209,2023-07-08,os,iOS,207141,42225,4209,4502,3320,3666
210,2023-07-08,gender,0,263320,53719,5808,5965,4769,4827
211,2023-07-08,gender,1,326434,66620,7071,6914,5701,5643
212,2023-07-08,age,14,7926,1555,79,192,75,106
213,2023-07-08,age,15,18704,3758,170,338,159,216
214,2023-07-08,age,16,23920,4920,598,495,454,450
215,2023-07-08,age,17,28229,5773,688,779,586,736
216,2023-07-08,age,18,31480,6482,699,668,629,652
217,2023-07-08,age,19,34820,7154,981,759,782,741
218,2023-07-08,age,20,37358,7749,1141,726,784,712
219,2023-07-08,age,21,36488,7497,970,956,936,931
220,2023-07-08,age,22,34363,6912,1036,651,786,631
221,2023-07-08,age,23,28286,5756,757,601,707,589
222,2023-07-08,age,24,24123,5033,788,655,711,637
223,2023-07-08,age,25,22629,4643,871,519,699,508
224,2023-07-08,age,26,18007,3690,684,437,511,425
225,2023-07-08,age,27,16799,3401,532,360,393,350
226,2023-07-08,age,28,15199,3072,299,323,288,310
227,2023-07-08,age,29,14994,3172,299,276,275,268
228,2023-07-08,age,30,14713,3013,277,269,268,261
229,2023-07-08,age,31,12908,2644,363,325,306,302
230,2023-07-08,age,32,12687,2558,271,313,242,252
231,2023-07-08,age,33,12314,2576,207,284,184,156
232,2023-07-08,age,34,11185,2267,126,217,115,88
233,2023-07-08,age,35,11545,2408,84,259,68,103
234,2023-07-08,age,36,11629,2473,105,246,93,93
235,2023-07-08,age,37,10145,1978,100,217,75,83
236,2023-07-08,age,38,8628,1738,69,194,62,84
237,2023-07-08,age,39,8864,1793,13,115,13,56
238,2023-07-08,age,40,7972,1541,272,198,81,70
239,2023-07-08,age,41,7563,1476,17,110,10,48
240,2023-07-08,age,42,7360,1491,202,188,75,73
241,2023-07-08,age,43,6609,1319,4,111,3,56
242,2023-07-08,age,44,5773,1167,89,138,51,56
243,2023-07-08,age,45,5754,1125,0,104,0,47
244,2023-07-08,age,46,5162,1044,0,85,0,36
245,2023-07-08,age,47,4537,887,0,98,0,38
246,2023-07-08,age,48,4352,884,0,80,0,39
247,2023-07-08,age,49,2984,623,7,86,2,36
248,2023-07-08,age,50,3334,660,0,90,0,40
249,2023-07-08,age,51,3429,690,2,76,2,39
250,2023-07-08,age,52,2475,520,78,61,44,27
251,2023-07-08,age,53,2322,499,1,42,1,23
252,2023-07-08,age,54,2192,431,0,46,0,21
253,2023-07-08,age,55,1316,261,0,34,0,14
254,2023-07-08,age,56,1315,259,0,22,0,11
255,2023-07-08,age,57,1557,298,0,34,0,11
256,2023-07-08,age,58,1087,235,0,17,0,7
257,2023-07-08,age,59,742,159,0,8,0,5
258,2023-07-08,age,60,841,169,0,9,0,4
259,2023-07-08,age,61,440,83,0,9,0,6
260,2023-07-08,age,62,595,104,0,23,0,8
261,2023-07-08,age,63,306,62,0,8,0,3
262,2023-07-08,age,64,302,50,0,12,0,4
263,2023-07-08,age,65,286,53,0,0,0,0
264,2023-07-08,age,66,231,53,0,3,0,2
265,2023-07-08,age,67,148,27,0,0,0,0
266,2023-07-08,age,68,110,23,0,7,0,2
267,2023-07-08,age,69,96,16,0,3,0,2
268,2023-07-08,age,70,75,13,0,3,0,2
269,2023-07-08,age,71,124,22,0,0,0,0
270,2023-07-08,age,72,142,29,0,0,0,0
271,2023-07-08,age,73,30,5,0,0,0,0
272,2023-07-08,age,74,72,15,0,0,0,0
273,2023-07-08,age,75,23,3,0,0,0,0
274,2023-07-08,age,76,11,1,0,0,0,0
275,2023-07-08,age,82,45,7,0,0,0,0
276,2023-07-08,age,86,56,12,0,0,0,0
277,2023-07-08,age,95,43,8,0,0,0,0
278,2023-07-09,os,Android,307058,60101,8530,8312,6564,6467
279,2023-07-09,os,iOS,164069,32348,4370,4588,3391,3488
280,2023-07-09,gender,0,211235,41421,5532,5543,4138,4285
281,2023-07-09,gender,1,259892,51028,7368,7357,5817,5670
282,2023-07-09,age,14,6791,1243,116,228,103,66
283,2023-07-09,age,15,14897,2893,505,381,278,263
284,2023-07-09,age,16,18536,3684,388,616,358,530
285,2023-07-09,age,17,22516,4368,473,649,440,614
286,2023-07-09,age,18,26177,5130,764,602,511,583
287,2023-07-09,age,19,27932,5436,654,804,619,768
288,2023-07-09,age,20,29596,5841,1024,826,797,797
289,2023-07-09,age,21,29179,5785,1053,782,844,769
290,2023-07-09,age,22,26101,5193,676,638,659,621
291,2023-07-09,age,23,23959,4694,779,692,747,677
292,2023-07-09,age,24,19950,3965,615,550,589,529
293,2023-07-09,age,25,17726,3552,667,435,555,424
294,2023-07-09,age,26,14842,3013,322,334,312,322
295,2023-07-09,age,27,13317,2694,467,252,333,247
296,2023-07-09,age,28,12031,2334,583,248,292,241
297,2023-07-09,age,29,11345,2148,342,382,326,368
298,2023-07-09,age,30,10851,2124,554,372,383,351
299,2023-07-09,age,31,10293,2003,385,416,361,372
300,2023-07-09,age,32,10243,1983,302,328,271,259
301,2023-07-09,age,33,10302,2026,248,264,213,133
302,2023-07-09,age,34,9260,1813,185,213,156,100
303,2023-07-09,age,35,10113,1935,346,253,196,83
304,2023-07-09,age,36,8656,1735,78,231,72,74
305,2023-07-09,age,37,9001,1801,35,148,33,47
306,2023-07-09,age,38,7413,1387,252,253,116,76
307,2023-07-09,age,39,6885,1333,33,233,29,63
308,2023-07-09,age,40,6335,1247,384,243,128,76
309,2023-07-09,age,41,5789,1098,24,153,21,54
310,2023-07-09,age,42,5562,1112,15,161,14,48
311,2023-07-09,age,43,4058,795,282,158,73,45
312,2023-07-09,age,44,4645,975,3,184,3,56
313,2023-07-09,age,45,4355,823,3,89,3,26
314,2023-07-09,age,46,3809,757,115,99,52,66
315,2023-07-09,age,47,3619,680,0,48,0,18
316,2023-07-09,age,48,3036,564,0,101,0,36
317,2023-07-09,age,49,2848,585,1,87,1,22
318,2023-07-09,age,50,2856,574,0,88,0,26
319,2023-07-09,age,51,2636,518,5,79,5,20
320,2023-07-09,age,52,1740,345,0,53,0,18
321,2023-07-09,age,53,1934,373,0,48,0,12
322,2023-07-09,age,54,1318,256,0,24,0,8
323,2023-07-09,age,55,1294,252,0,16,0,7
324,2023-07-09,age,56,1300,247,0,31,0,6
325,2023-07-09,age,57,995,207,0,35,0,12
326,2023-07-09,age,58,543,104,0,2,0,2
327,2023-07-09,age,59,963,188,0,14,0,2
328,2023-07-09,age,60,503,86,0,5,0,2
329,2023-07-09,age,61,372,63,0,4,0,2
330,2023-07-09,age,62,609,111,0,14,0,4
331,2023-07-09,age,63,617,113,0,0,0,0
332,2023-07-09,age,64,252,45,0,0,0,0
333,2023-07-09,age,65,367,55,222,7,62,2
334,2023-07-09,age,66,184,28,0,17,0,4
335,2023-07-09,age,67,88,20,0,0,0,0
336,2023-07-09,age,68,136,26,0,3,0,2
337,2023-07-09,age,69,77,9,0,0,0,0
338,2023-07-09,age,70,84,17,0,0,0,0
339,2023-07-09,age,71,56,9,0,0,0,0
340,2023-07-09,age,72,99,24,0,0,0,0
341,2023-07-09,age,73,35,5,0,0,0,0
342,2023-07-09,age,75,22,2,0,0,0,0
343,2023-07-09,age,76,30,7,0,7,0,2
344,2023-07-09,age,79,23,8,0,0,0,0
345,2023-07-09,age,80,20,6,0,0,0,0
346,2023-07-09,age,92,6,2,0,0,0,0
347,2023-07-10,os,Android,309951,62952,8125,7913,5941,5841
348,2023-07-10,os,iOS,165042,33252,4776,4988,3578,3678
349,2023-07-10,gender,0,214688,43612,6020,5857,4389,4411
350,2023-07-10,gender,1,260305,52592,6881,7044,5130,5108
351,2023-07-10,age,14,7123,1508,77,291,77,94
352,2023-07-10,age,15,13804,2762,243,440,221,238
353,2023-07-10,age,16,17960,3668,301,534,259,421
354,2023-07-10,age,17,23798,4728,368,560,354,491
355,2023-07-10,age,18,27266,5583,733,699,573,647
356,2023-07-10,age,19,29185,5998,724,651,632,625
357,2023-07-10,age,20,30507,6211,586,710,554,685
358,2023-07-10,age,21,29631,6013,1204,844,972,812
359,2023-07-10,age,22,27699,5615,952,675,627,653
360,2023-07-10,age,23,23313,4705,630,692,596,659
361,2023-07-10,age,24,19481,3939,486,403,468,390
362,2023-07-10,age,25,17134,3493,596,513,567,498
363,2023-07-10,age,26,13776,2721,472,450,420,434
364,2023-07-10,age,27,12519,2611,659,309,384,297
365,2023-07-10,age,28,12777,2601,395,399,372,380
366,2023-07-10,age,29,12347,2487,733,384,445,352
367,2023-07-10,age,30,11611,2341,238,336,219,304
368,2023-07-10,age,31,11772,2323,306,338,247,296
369,2023-07-10,age,32,9785,1954,245,308,223,180
370,2023-07-10,age,33,9259,1854,457,204,227,76
371,2023-07-10,age,34,8904,1792,193,335,174,82
372,2023-07-10,age,35,9400,2007,73,213,67,65
373,2023-07-10,age,36,9237,1854,81,184,72,56
374,2023-07-10,age,37,8065,1580,195,207,115,57
375,2023-07-10,age,38,7457,1473,754,177,235,49
376,2023-07-10,age,39,7447,1501,11,158,11,58
377,2023-07-10,age,40,6543,1301,26,226,25,63
378,2023-07-10,age,41,6356,1244,42,178,26,54
379,2023-07-10,age,42,5359,1055,22,198,15,63
380,2023-07-10,age,43,5786,1163,8,80,6,25
381,2023-07-10,age,44,5342,1065,7,164,7,47
382,2023-07-10,age,45,4173,786,8,103,8,30
383,2023-07-10,age,46,3925,773,265,148,116,102
384,2023-07-10,age,47,3576,758,3,72,3,26
385,2023-07-10,age,48,3378,714,320,88,79,30
386,2023-07-10,age,49,2389,465,6,118,3,36
387,2023-07-10,age,50,2777,556,1,77,1,24
388,2023-07-10,age,51,2202,433,2,62,2,16
389,2023-07-10,age,52,1591,353,0,75,0,22
390,2023-07-10,age,53,1373,319,0,33,0,10
391,2023-07-10,age,54,1377,271,0,58,0,13
392,2023-07-10,age,55,1105,267,1,30,1,11
393,2023-07-10,age,56,962,177,0,63,0,16
394,2023-07-10,age,57,901,168,477,42,115,9
395,2023-07-10,age,58,890,206,0,12,0,2
396,2023-07-10,age,59,633,116,1,20,1,6
397,2023-07-10,age,60,475,118,0,0,0,0
398,2023-07-10,age,61,340,68,0,19,0,4
399,2023-07-10,age,62,481,103,0,0,0,0
400,2023-07-10,age,63,355,75,0,6,0,6
401,2023-07-10,age,64,238,40,0,0,0,0
402,2023-07-10,age,65,177,34,0,4,0,2
403,2023-07-10,age,66,194,57,0,0,0,0
404,2023-07-10,age,67,187,46,0,0,0,0
405,2023-07-10,age,68,162,38,0,0,0,0
406,2023-07-10,age,69,27,4,0,8,0,2
407,2023-07-10,age,70,105,27,0,0,0,0
408,2023-07-10,age,71,121,27,0,0,0,0
409,2023-07-10,age,72,85,22,0,0,0,0
410,2023-07-10,age,73,2,2,0,0,0,0
411,2023-07-10,age,74,65,14,0,0,0,0
412,2023-07-10,age,76,26,7,0,3,0,1
413,2023-07-10,age,78,8,1,0,0,0,0
414,2023-07-10,age,79,13,4,0,0,0,0
415,2023-07-10,age,80,16,1,0,0,0,0
416,2023-07-10,age,84,21,4,0,0,0,0
417,2023-07-11,os,Android,422742,89597,8610,8361,6917,6772
418,2023-07-11,os,iOS,227765,48305,4289,4538,3528,3673
419,2023-07-11,gender,0,289725,61223,6063,5790,4761,4677
420,2023-07-11,gender,1,360782,76679,6836,7109,5684,5768
421,2023-07-11,age,14,9403,1966,167,194,98,95
422,2023-07-11,age,15,21536,4501,235,414,198,287
423,2023-07-11,age,16,25925,5572,580,527,379,474
424,2023-07-11,age,17,32491,6714,584,637,539,605
425,2023-07-11,age,18,36006,7632,905,694,723,672
426,2023-07-11,age,19,38910,8264,1160,880,886,858
427,2023-07-11,age,20,39374,8317,986,988,916,964
428,2023-07-11,age,21,39544,8336,1406,846,1116,825
429,2023-07-11,age,22,33228,6870,849,613,771,605
430,2023-07-11,age,23,31858,6886,556,628,544,619
431,2023-07-11,age,24,25081,5340,1011,531,681,518
432,2023-07-11,age,25,22618,4955,749,464,638,452
433,2023-07-11,age,26,20019,4226,395,370,386,363
434,2023-07-11,age,27,20992,4492,381,359,350,348
435,2023-07-11,age,28,18238,3870,339,297,327,291
436,2023-07-11,age,29,16846,3572,438,294,306,284
437,2023-07-11,age,30,15959,3361,274,342,258,319
438,2023-07-11,age,31,15549,3337,219,258,209,243
439,2023-07-11,age,32,13220,2782,308,257,224,192
440,2023-07-11,age,33,13540,2882,337,238,213,120
441,2023-07-11,age,34,14753,3106,187,327,162,119
442,2023-07-11,age,35,12215,2554,65,152,63,68
443,2023-07-11,age,36,12269,2560,68,196,61,78
444,2023-07-11,age,37,10281,2192,66,223,53,90
445,2023-07-11,age,38,11951,2516,50,269,47,110
446,2023-07-11,age,39,10659,2245,22,177,20,80
447,2023-07-11,age,40,9105,1975,405,173,175,79
448,2023-07-11,age,41,8131,1778,16,162,16,69
449,2023-07-11,age,42,8768,1828,87,188,50,79
450,2023-07-11,age,43,5712,1288,18,149,6,51
451,2023-07-11,age,44,6100,1278,7,124,7,56
452,2023-07-11,age,45,5164,1140,8,137,8,67
453,2023-07-11,age,46,4859,999,9,145,7,91
454,2023-07-11,age,47,5305,1163,2,85,2,33
455,2023-07-11,age,48,4483,930,5,71,2,32
456,2023-07-11,age,49,4690,976,0,74,0,31
457,2023-07-11,age,50,3352,682,1,88,1,40
458,2023-07-11,age,51,3230,667,3,30,2,12
459,2023-07-11,age,52,2840,621,0,30,0,15
460,2023-07-11,age,53,2546,548,0,14,0,5
461,2023-07-11,age,54,1864,416,0,50,0,19
462,2023-07-11,age,55,1621,313,0,38,0,14
463,2023-07-11,age,56,1258,278,1,13,1,7
464,2023-07-11,age,57,1646,362,0,45,0,17
465,2023-07-11,age,58,1184,287,0,17,0,11
466,2023-07-11,age,59,1132,245,0,32,0,11
467,2023-07-11,age,60,864,206,0,11,0,4
468,2023-07-11,age,61,782,133,0,15,0,6
469,2023-07-11,age,62,556,105,0,1,0,1
470,2023-07-11,age,63,341,84,0,3,0,2
471,2023-07-11,age,64,366,77,0,6,0,4
472,2023-07-11,age,65,772,159,0,0,0,0
473,2023-07-11,age,66,108,27,0,11,0,5
474,2023-07-11,age,67,214,38,0,0,0,0
475,2023-07-11,age,68,84,15,0,8,0,4
476,2023-07-11,age,69,257,51,0,0,0,0
477,2023-07-11,age,70,116,37,0,0,0,0
478,2023-07-11,age,71,52,10,0,0,0,0
479,2023-07-11,age,72,249,72,0,0,0,0
480,2023-07-11,age,73,25,8,0,0,0,0
481,2023-07-11,age,74,99,22,0,0,0,0
482,2023-07-11,age,76,49,13,0,0,0,0
483,2023-07-11,age,77,85,15,0,0,0,0
484,2023-07-11,age,78,0,0,0,4,0,1
485,2023-07-11,age,82,9,1,0,0,0,0
486,2023-07-11,age,84,24,7,0,0,0,0
487,2023-07-12,os,Android,487219,105673,7564,8164,6276,6470
488,2023-07-12,os,iOS,252436,55123,5336,4736,3954,3760
489,2023-07-12,gender,0,333563,72714,5771,5728,4524,4570
490,2023-07-12,gender,1,406092,88082,7129,7172,5706,5660
491,2023-07-12,age,14,11857,2508,59,210,57,127
492,2023-07-12,age,15,24251,5262,277,470,229,372
493,2023-07-12,age,16,27648,6044,321,565,296,511
494,2023-07-12,age,17,38108,8130,499,670,467,642
495,2023-07-12,age,18,41114,9083,522,621,502,594
496,2023-07-12,age,19,42321,9244,1222,875,969,856
497,2023-07-12,age,20,47500,10406,792,854,762,838
498,2023-07-12,age,21,48666,10428,1306,851,1037,834
499,2023-07-12,age,22,41407,9046,746,670,723,654
500,2023-07-12,age,23,34737,7675,1273,728,880,713
501,2023-07-12,age,24,32370,6897,834,531,613,514
502,2023-07-12,age,25,25661,5448,555,438,472,424
503,2023-07-12,age,26,22428,4771,475,304,378,298
504,2023-07-12,age,27,22146,5022,609,340,391,332
505,2023-07-12,age,28,19272,4076,505,330,373,314
506,2023-07-12,age,29,17679,3741,283,318,263,303
507,2023-07-12,age,30,18186,3985,352,372,335,348
508,2023-07-12,age,31,15121,3342,295,325,261,274
509,2023-07-12,age,32,15266,3278,348,318,275,255
510,2023-07-12,age,33,15481,3357,193,306,173,135
511,2023-07-12,age,34,14276,3159,84,228,83,72
512,2023-07-12,age,35,14092,3131,592,230,246,70
513,2023-07-12,age,36,14928,3321,97,245,89,67
514,2023-07-12,age,37,13169,2732,70,178,61,57
515,2023-07-12,age,38,11298,2476,260,245,131,77
516,2023-07-12,age,39,10649,2269,33,138,32,45
517,2023-07-12,age,40,11035,2375,245,177,91,56
518,2023-07-12,age,41,9438,1974,17,161,17,58
519,2023-07-12,age,42,8625,1788,5,131,5,37
520,2023-07-12,age,43,7745,1716,9,147,7,48
